
1.10.0 update-20230319-release-1.10.0.sql
1.9.3 update-20230213-release-1.9.3.sql
1.9.2 update-20221216-release-1.9.2.sql
1.9.1 update-20221126-release-1.9.1.sql
1.9.0 update-20221024-release-1.9.0.sql
1.8.7 update-20221024-release-1.8.7.sql
1.8.6 update-20220928-release-1.8.6.sql
1.8.5 update-20220914-release-1.8.5.sql
1.8.4 update-20220805-release-1.8.4.sql
1.8.3 update-20220805-release-1.8.3.sql
1.8.2 update-20220607-release-1.8.2.sql
1.8.0 update-20220607-release-1.8.0.sql
1.7.0 update-20220515-release-1.7.0.sql
1.6.0 update-20220407-release-1.6.0.sql
1.5.0 update-20220407-release-1.5.0.sql
1.4.0 update-20220316-release-1.4.0.sql
1.3.1 update-20220218-release-1.3.1.sql
1.3.0 update-20220111-release-1.3.0.sql
1.2.0 update-20211230-release-1.2.0.sql
1.1.4 update-20211218-release-1.1.4.sql
1.1.3 update-20211203-release-1.1.3.sql
1.1.2 update-20211123-release-1.1.2.sql
1.1.1 update-20211120-release-1.1.1.sql
1.1.0 update-20211105-release-1.1.0.sql
1.0.6 update-20211022-release-1.0.6.sql
1.0.5 update-20211009-release-1.0.5.sql
1.0.4 update-20210918-release-1.0.4.sql
1.0.3 update-20210831-release-1.0.3.sql
